Date,Open,High,Low,Close,Adj Close,TotalVolume
12/6/2013,141.51,142.49,136.3,137.36,,7909596
12/9/2013,137,141.7,134.21,141.6,,9061485
12/10/2013,140.05,145.87,139.86,142.19,,10748234
12/11/2013,141.88,143.05,139.49,139.65,,7137842
12/12/2013,139.7,148.24,138.53,147.47,,10767791
12/13/2013,148.05,151.8,147.32,147.65,,10599775
12/16/2013,148.48,150.43,146.1,147.94,,6675276
12/17/2013,147.58,154.63,146.32,152.46,,10494969
12/18/2013,152.24,154.9,145.95,147.98,,11581897
12/19/2013,146.9,147,139.1,140.72,,12758613
12/20/2013,141.58,144.35,141.58,143.24,,7422537
12/23/2013,144.85,146.24,142.6,143.55,,5385506
12/24/2013,150,154.97,149.82,151.41,,9941485
12/26/2013,155.04,158,154.29,155.5,,7129526
12/27/2013,155.3,155.5,150.8,151.12,,5469064
12/30/2013,151.12,154.81,150.75,152.44,,4472076
12/31/2013,152.32,153.2,148.66,150.43,,4266710
1/2/2014,149.8,152.48,146.55,150.1,,6195355
1/3/2014,150,152.19,148.6,149.56,,4698839
1/6/2014,150,150.4,145.24,147,,5367320
1/7/2014,147.62,150.4,145.25,149.36,,5041806
1/8/2014,148.85,153.7,148.76,151.28,,6166674
1/9/2014,152.5,153.43,146.85,147.53,,5388905
1/10/2014,148.46,148.9,142.25,145.72,,7450531
1/13/2014,145.78,147,137.82,139.34,,6324647
1/14/2014,140.5,162,136.67,161.27,,27935828
1/15/2014,168.45,172.23,162.1,164.13,,20488980
1/16/2014,162.5,172.7,162.4,170.97,,11982099
1/17/2014,170.19,173.2,167.95,170.01,,9216028
1/21/2014,171.24,177.29,170.81,176.68,,9745765
1/22/2014,177.81,180.32,174.76,178.56,,7036758
1/23/2014,177.23,182.38,173.42,181.5,,7899515
1/24/2014,177.85,180.48,173.53,174.6,,7711296
1/27/2014,175.16,177.92,164.71,169.62,,8737773
1/28/2014,171.5,178.98,171,178.38,,6128237
1/29/2014,175.3,179.09,173.13,175.23,,5956817
1/30/2014,178,184.78,177.01,182.84,,8575210
1/31/2014,178.85,186,178.51,181.41,,6512951
2/3/2014,182.89,184.88,175.16,177.11,,6778609
2/4/2014,180.7,181.6,176.2,178.73,,4690883
2/5/2014,178.3,180.59,169.36,174.42,,7275952
2/6/2014,176.3,180.11,176,178.38,,5847953
2/7/2014,181.01,186.63,179.6,186.53,,8964054
2/10/2014,189.34,199.3,189.32,196.56,,12989286
2/11/2014,198.97,202.2,192.7,196.62,,10734472
2/12/2014,195.78,198.27,194.32,195.32,,5181313
2/13/2014,193.34,202.72,193.25,199.63,,8174049
2/14/2014,198.1,201.88,197,198.23,,6173462
2/18/2014,205.24,206,201.36,203.7,,9355871
2/19/2014,203.7,203.7,193.41,193.64,,16419899
2/20/2014,215.01,215.21,206.27,209.97,,18022262
2/21/2014,211.64,213.98,209.19,209.6,,7828981
2/24/2014,208.76,218.36,208.32,217.65,,8303133
2/25/2014,230,259.2,228.45,248,,32797000
2/26/2014,258.58,265,247.5,253,,24771194
2/27/2014,261.25,261.9,248.33,252.54,,17970708
2/28/2014,249.65,252.68,242.55,244.81,,14612693
3/3/2014,237.26,251.65,234.99,250.56,,13109303
3/4/2014,258.48,260,252.83,254.84,,8765392
3/5/2014,256.72,256.99,251.8,252.66,,5946736
3/6/2014,254.14,257.5,249.45,252.94,,7374719
3/7/2014,252.94,254.85,244.41,246.21,,7818465
3/10/2014,242.7,243,236.06,238.84,,7745751
